Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:16.0284197	3.381625731	8.427819188	0
0:00:00:16.0617538	3.387725565	8.439384715	0
0:00:00:16.0950889	3.377820884	8.43296781	0
0:00:00:16.1284222	3.383460211	8.438312715	0
0:00:00:16.1617564	3.383656493	8.43555722	0
0:00:00:16.1950907	3.381814464	8.432884768	0
0:00:00:16.2284247	3.382297619	8.437165221	0
0:00:00:16.2617589	3.384713395	8.432499754	0
0:00:00:16.2950931	3.384577507	8.437127475	0
0:00:00:16.3284273	3.381814464	8.424829665	0
0:00:00:16.3617614	3.384668099	8.431873162	0
0:00:00:16.3950956	3.389975257	8.436281953	0
0:00:00:16.4284298	3.391839934	8.434923079	0
0:00:00:16.4617640	3.386555424	8.429442287	0
0:00:00:16.4950982	3.391507765	8.436055474	0
0:00:00:16.5284323	3.384939874	8.429759358	0
0:00:00:16.5617665	3.387521734	8.43329243	0
0:00:00:16.5951007	3.388993848	8.418707183	0
0:00:00:16.6284348	3.382448605	8.41971879	0
0:00:00:16.6617690	3.377564208	8.430038682	0
0:00:00:16.6951032	3.381889957	8.423146172	0
0:00:00:16.7284374	3.386208156	8.416782112	0
0:00:00:16.7617716	3.387083875	8.424633384	0
0:00:00:16.7951057	3.378153053	8.433752938	0
0:00:00:16.8284399	3.389522299	8.427826737	0
0:00:00:16.8617741	3.381520041	8.422444087	0
0:00:00:16.8951083	3.389424158	8.414947632	0
0:00:00:16.9284424	3.378439927	8.42219496	0
0:00:00:16.9617766	3.37366122	8.416457492	0
0:00:00:16.9951108	3.3706415	8.419220536	0
0:00:00:17.0284450	3.380417843	8.412720589	0
0:00:00:17.0617791	3.377662349	8.42521468	0
0:00:00:17.0951133	3.374869108	8.410304813	0
0:00:00:17.1284475	3.376160038	8.402770612	0
0:00:00:17.1617817	3.375676883	8.408387291	0
0:00:00:17.1951159	3.379874294	8.410825715	0
0:00:00:17.2284500	3.372559022	8.393273593	0
0:00:00:17.2617842	3.375095587	8.403216021	0
0:00:00:17.2951184	3.378553166	8.407881488	0
0:00:00:17.3284526	3.367667076	8.407043515	0
0:00:00:17.3617867	3.37484646	8.395659172	0
0:00:00:17.3951209	3.374348206	8.396459397	0
0:00:00:17.4284551	3.375427756	8.397018046	0
0:00:00:17.4617893	3.379647815	8.40537512	0
0:00:00:17.4951234	3.378160603	8.39718413	0
0:00:00:17.5284576	3.375933559	8.387249252	0
0:00:00:17.5617918	3.372521276	8.390533197	0
0:00:00:17.5951260	3.374265164	8.384599448	0
